checkpoint,generation,annotation
epoch_1.pt,"Once upon a to park happy enough. She liked, brainOne named he red drum castle one in so upon even idea dog the visit One run hermy has went","Once upon a to park happy enough. She liked, brainOne named he red drum castle one in so upon even idea dog the visit One run hermy has went"
epoch_2.pt,"Once upon a there One Sally to. looked, named was and are had with girl playing his day sad found tree boy's their, She he He manOne big","Once upon a there One Sally to. looked, named was and are had with girl playing his day sad found tree boy's their, She he He manOne big"
epoch_3.pt,"Once upon a in and he toys time little. excited wanted, boy but small was very was Tim Lily little doll to girl named girl playing She it together had with","Once upon a in and he toys time little. excited wanted, boy but small was very was Tim Lily little doll to girl named girl playing She it together had with"
epoch_4.pt,"Once upon a play day was. a She girlmy around her's who so, were and to the They upon so there to very dress man had One named
","Once upon a play day was. a She girlmy around her's who so, were and to the They upon so there to very dress man had One named
"
epoch_5.pt,"Once upon a, she of. toys the day was very lived town big and time loved her it Sometimes was Lily couldn in friends Kitty excited to was upon.
","Once upon a, she of. toys the day was very lived town big and time loved her it Sometimes was Lily couldn in friends Kitty excited to was upon.
"
epoch_6.pt,"Once upon a were liked named lot to little, play take. with She there go was her my what he Dad toys happy bird so world time in was play","Once upon a were liked named lot to little, play take. with She there go was her my what he Dad toys happy bird so world time in was play"
epoch_7.pt,"Once upon a park a she, She would day The playing mom and,
 the. little girl playing yellow to time his Lily 3 in Joe there brothers sunny their","Once upon a park a she, She would day The playing mom and,
 the. little girl playing yellow to time his Lily 3 in Joe there brothers sunny their"
epoch_8.pt,"Once upon a He and the his, to find she named liked loved in She a and little with had. friends was Bobama Lily day places tree fast her wanted","Once upon a He and the his, to find she named liked loved in She a and little with had. friends was Bobama Lily day places tree fast her wanted"
epoch_9.pt,"Once upon a. time she the of was and wanted
 called had, her very with Lily She there play little pick he on mom named a, they named many","Once upon a. time she the of was and wanted
 called had, her very with Lily She there play little pick he on mom named a, they named many"
epoch_10.pt,"Once upon a, very play to there day wanted She little house toys day new and One of she boy her. was They up went, the has of in time","Once upon a, very play to there day wanted She little house toys day new and One of she boy her. was They up went, the has of in time"
